group_code,marine_site_name,site_code,site_lat,site_long,ltm_lat,ltm_long,marine_sort_order,marine_common_year,season_name,marine_season_code,marine_common_season,min_survey_date,max_survey_date,target_assemblage,species_code,size_bin,total,num_plots_sampled,method_code,state_province,georegion,bioregion,mpa_designation,mpa_region,mpa_lt_region,mpa_name,island,site_type,last_updated
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2014,NONE,NONE,NONE,2014-07-28,2014-07-28,sea_star,EVATRO,110,3,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2014,NONE,NONE,NONE,2014-07-28,2014-07-28,sea_star,PYCHEL,NM,3,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-01-21,2015-01-21,sea_star,DERIMB,NM,1,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-01-21,2015-01-21,sea_star,EVATRO,170,1,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-01-21,2015-01-21,sea_star,EVATRO,70,1,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-01-21,2015-01-21,sea_star,EVATRO,130,12,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-01-21,2015-01-21,sea_star,EVATRO,200,1,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-01-21,2015-01-21,sea_star,EVATRO,80,1,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-01-21,2015-01-21,sea_star,EVATRO,140,4,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-01-21,2015-01-21,sea_star,EVATRO,30,1,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-01-21,2015-01-21,sea_star,EVATRO,90,2,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-01-21,2015-01-21,sea_star,EVATRO,150,6,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-01-21,2015-01-21,sea_star,EVATRO,40,1,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-01-21,2015-01-21,sea_star,EVATRO,110,3,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-01-21,2015-01-21,sea_star,EVATRO,100,1,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-01-21,2015-01-21,sea_star,EVATRO,160,3,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-01-21,2015-01-21,sea_star,EVATRO,60,2,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-01-21,2015-01-21,sea_star,EVATRO,120,3,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-01-21,2015-01-21,sea_star,PYCHEL,NM,6,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-01-21,2015-01-21,sea_star,SOLSPP,NM,1,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-05-09,2015-05-09,sea_star,EVATRO,160,1,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-05-09,2015-05-09,sea_star,EVATRO,70,1,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-05-09,2015-05-09,sea_star,EVATRO,110,1,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-05-09,2015-05-09,sea_star,EVATRO,170,2,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-05-09,2015-05-09,sea_star,EVATRO,80,1,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-05-09,2015-05-09,sea_star,EVATRO,120,1,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-05-09,2015-05-09,sea_star,EVATRO,40,1,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-05-09,2015-05-09,sea_star,EVATRO,90,2,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-05-09,2015-05-09,sea_star,EVATRO,140,3,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-05-09,2015-05-09,sea_star,EVATRO,50,4,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-05-09,2015-05-09,sea_star,EVATRO,150,3,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-05-09,2015-05-09,sea_star,EVATRO,60,4,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-05-09,2015-05-09,sea_star,PYCHEL,NM,1,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-07-05,2015-07-05,sea_star,DERIMB,NM,2,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-07-05,2015-07-05,sea_star,EVATRO,190,1,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-07-05,2015-07-05,sea_star,EVATRO,70,1,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-07-05,2015-07-05,sea_star,EVATRO,150,6,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-07-05,2015-07-05,sea_star,EVATRO,20,4,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-07-05,2015-07-05,sea_star,EVATRO,110,2,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-07-05,2015-07-05,sea_star,EVATRO,90,1,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-07-05,2015-07-05,sea_star,EVATRO,160,5,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-07-05,2015-07-05,sea_star,EVATRO,30,6,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-07-05,2015-07-05,sea_star,EVATRO,120,6,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-07-05,2015-07-05,sea_star,EVATRO,170,7,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-07-05,2015-07-05,sea_star,EVATRO,40,1,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-07-05,2015-07-05,sea_star,EVATRO,130,6,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-07-05,2015-07-05,sea_star,EVATRO,180,1,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-07-05,2015-07-05,sea_star,EVATRO,60,1,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-07-05,2015-07-05,sea_star,EVATRO,140,5,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-09-30,2015-09-30,sea_star,DERIMB,NM,1,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-09-30,2015-09-30,sea_star,EVATRO,40,1,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-09-30,2015-09-30,sea_star,EVATRO,NM,1,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-09-30,2015-09-30,sea_star,EVATRO,130,9,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-09-30,2015-09-30,sea_star,EVATRO,50,3,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-09-30,2015-09-30,sea_star,EVATRO,140,2,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-09-30,2015-09-30,sea_star,EVATRO,60,1,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-09-30,2015-09-30,sea_star,EVATRO,150,3,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-09-30,2015-09-30,sea_star,EVATRO,80,1,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-09-30,2015-09-30,sea_star,EVATRO,100,11,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-09-30,2015-09-30,sea_star,EVATRO,160,4,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-09-30,2015-09-30,sea_star,EVATRO,90,4,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-09-30,2015-09-30,sea_star,EVATRO,110,6,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2015,NONE,NONE,NONE,2015-09-30,2015-09-30,sea_star,PYCHEL,NM,2,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2016,NONE,NONE,NONE,2016-02-11,2016-02-11,sea_star,DERIMB,NM,1,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2016,NONE,NONE,NONE,2016-02-11,2016-02-11,sea_star,EVATRO,60,3,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2016,NONE,NONE,NONE,2016-02-11,2016-02-11,sea_star,EVATRO,110,5,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2016,NONE,NONE,NONE,2016-02-11,2016-02-11,sea_star,EVATRO,160,2,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2016,NONE,NONE,NONE,2016-02-11,2016-02-11,sea_star,EVATRO,70,1,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2016,NONE,NONE,NONE,2016-02-11,2016-02-11,sea_star,EVATRO,120,9,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2016,NONE,NONE,NONE,2016-02-11,2016-02-11,sea_star,EVATRO,170,1,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2016,NONE,NONE,NONE,2016-02-11,2016-02-11,sea_star,EVATRO,80,2,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2016,NONE,NONE,NONE,2016-02-11,2016-02-11,sea_star,EVATRO,130,1,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2016,NONE,NONE,NONE,2016-02-11,2016-02-11,sea_star,EVATRO,180,1,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
